States,Diabetes,Asthma,Thyroid,Heart_Diseases,Cancer,Hypertension,pop
Andaman & Nicobar Islands,16923,10404,5502,4255,3376,76090,400000
Andhra Pradesh,1478112,1213968,1161010,739018,79190,6968473,52787000
Arunachal Pradesh,18408,11307,9072,16742,2323,282174,1533000
Assam,368273,279701,345929,366344,17200,6302114,35043000
Bihar,1777292,1959446,1028912,2318813,418438,9566329,123083000
Chandigarh,23206,7755,39580,15096,554,139812,1208000
Chattisgarh,191842,191458,205868,162158,14698,3172262,29493000
Dadra & Nagar Haveli,5590,5735,2450,1225,206,62053,608000
Daman & Diu,700,1450,610,420,140,35440,469000
Delhi,385452,156452,443368,178378,25178,1190730,20571000
Goa,52954,11660,15486,3904,1572,171029,1559000
Gujarat,800856,760844,405080,282564,69788,7977236,69788000
Haryana,230575,240909,383035,230575,43343,3915407,29483000
Himachal Pradesh,99554,55190,113388,51546,14894,1262174,7394000
Jammu & Kashmir,332082,148792,565970,455730,6378,1702958,13408000
Jharkhand,545111,407204,344377,466307,275814,3867582,38471000
Karnataka,1737970,731387,694545,500849,132713,8450803,66845000
Kerala,1526070,742287,1579421,461370,53937,2873481,35489000
Lakshadweep,1884,1443,2091,1215,33,7062,68000
Madhya Pradesh,883365,1256932,831650,1216025,169032,8072251,84516000
Maharashtra,1548012,1911389,1269336,681920,124437,15852906,124437000
Manipur,34832,33145,78834,64715,3164,510034,3165000
Meghalaya,93848,60736,67384,93632,8208,338688,3288000
Mizoram,13364,18204,15134,37022,3034,168902,1216000
Nagaland,19800,38684,10600,33292,1060,431092,2192000
Odisha,959255,1036805,336336,463023,65373,4709870,44033000
Puducherry,42576,39102,28533,8058,2325,190557,1571000
Punjab,467917,266850,420551,311583,14395,5375714,30339000
Rajasthan,598002,631985,545915,394142,38509,7712849,79281000
Sikkim,9404,6413,4271,1920,445,151295,677000
Tamil Nadu,2788709,2521482,1833936,1413185,839918,9165576,76402000
Telangana,810972,940815,976230,603369,37725,5347443,37725000
Tripura,61136,78284,38071,132059,2000,545940,4071000
Uttar Pradesh,2429414,2530196,1798351,2269946,230907,20557532,230907000
Uttarakhand,112879,102320,94800,125960,5560,1561320,11399000
West Bengal,1618013,2486667,1787403,1762100,98124,11304920,98125000
