States,% Women_Diabetes,% Women_Asthma,% Women_Thyroid,% Women_Heart_Diseases,% Women_Cancer,% Women_Hypertension,% Men_Diabetes,% Men_Asthma,% Men_Thyroid,% Men_Heart_Diseases,% Men_Cancer,% Men_Hypertension
Andaman & Nicobar Islands,4.6,4.5,2.8,0.8,0.0,9.0,3.9,0.9,0.1,1.3,1.6,28.0
Andhra Pradesh,2.4,3.0,3.8,1.4,0.1,10.1,3.2,1.6,0.6,1.4,0.2,16.3
Arunachal Pradesh,1.2,1.2,0.9,1.4,0.1,15.0,1.2,0.3,0.3,0.8,0.2,21.6
Assam,1.0,0.9,1.7,1.3,0.1,16.1,1.1,0.7,0.3,0.8,0.0,19.8
Bihar,1.6,1.8,1.2,2.3,0.6,5.9,1.3,1.4,0.5,1.5,0.1,9.5
Chandigarh,2.3,1.4,6.2,0.6,0.1,9.3,1.6,0.0,0.8,1.8,0.0,13.5
Chattisgarh,0.5,0.9,1.3,0.6,0.1,8.799999999999999,0.8,0.4,0.1,0.5,0.0,12.7
Dadra & Nagar Haveli,0.8,1.6,1.0,0.5,0.0,7.399999999999999,1.0,0.5,0.0,0.0,0.0,12.1
Daman & Diu,0.5,0.8,0.2,0.3,0.1,7.399999999999999,0.0,0.1,0.1,0.0,0.0,7.6
Delhi,2.3,1.4,4.5,1.4,0.0,7.6,1.5,0.2,0.1,0.4,0.0,4.2
Goa,3.8,1.0,1.8,0.2,0.0,8.5,3.0,0.5,0.2,0.3,0.2,13.4
Gujarat,1.2,1.3,1.0,0.3,0.1,9.7,1.1,0.9,0.2,0.5,0.1,13.0
Haryana,1.1,1.4,2.2,1.1,0.2,9.2,0.5,0.3,0.5,0.5,0.1,16.900000000000002
Himachal Pradesh,1.6,1.0,2.7,0.9,0.1,12.1,1.1,0.5,0.4,0.5,0.3,21.9
Jammu & Kashmir,1.9,0.9,7.0,4.5,0.1,11.6,3.0,1.3,1.7,2.4,0.0,13.7
Jharkhand,0.7,0.7,1.1,0.7,0.0,7.800000000000001,2.1,1.4,0.7,1.7,1.4,12.2
Karnataka,2.6,1.5,1.8,0.8,0.3,9.7,2.6,0.7,0.3,0.7,0.1,15.5
Kerala,4.3,3.1,8.1,1.3,0.2,6.8,4.3,1.0,0.5,1.3,0.1,9.5
Lakshadweep,3.8,3.1,5.7,0.5,0.1,10.900000000000002,1.8,1.2,0.6,3.0,0.0,9.9
Madhya Pradesh,1.2,1.9,1.5,1.8,0.2,7.899999999999999,0.9,1.1,0.5,1.1,0.2,11.1
Maharashtra,1.4,1.9,1.8,0.6,0.1,9.1,1.1,1.2,0.3,0.5,0.1,16.099999999999998
Manipur,0.9,1.6,4.4,3.1,0.1,11.6,1.3,0.5,0.6,1.0,0.1,20.6
Meghalaya,1.1,3.0,2.3,3.8,0.4,10.0,4.6,0.7,1.8,1.9,0.1,10.6
Mizoram,1.2,1.8,1.8,3.6,0.3,9.8,1.0,1.2,0.7,2.5,0.2,17.900000000000002
Nagaland,0.8,1.3,1.0,2.5,0.1,16.0,1.0,2.2,0.0,0.6,0.0,23.1
Odisha,1.5,2.5,1.2,1.1,0.1,9.0,2.9,2.2,0.3,1.0,0.2,12.5
Puducherry,2.9,2.2,3.3,0.8,0.1,9.2,2.5,2.8,0.2,0.2,0.2,15.3
Punjab,1.7,1.3,2.7,1.5,0.1,13.2,1.4,0.5,0.2,0.6,0.0,21.8
Rajasthan,0.6,0.9,1.1,0.6,0.1,6.9,0.9,0.7,0.3,0.4,0.0,12.4
Sikkim,1.6,1.0,1.0,0.6,0.0,16.6,1.2,0.9,0.3,0.0,0.0,27.5
Tamil Nadu,3.7,3.6,2.8,1.5,0.4,8.3,3.6,3.0,2.0,2.2,1.8,15.7
Telangana,2.2,3.5,4.6,1.7,0.1,10.1,2.1,1.5,0.6,1.5,0.1,18.2
Tripura,1.4,3.5,1.8,3.6,0.1,12.8,1.6,0.4,0.1,2.9,0.0,14.0
Uttar Pradesh,1.0,1.2,1.3,1.4,0.1,7.6,1.1,1.0,0.3,0.6,0.1,10.1
Uttarakhand,1.4,1.0,1.6,0.9,0.1,9.7,0.6,0.8,0.1,1.3,0.0,17.5
West Bengal,1.7,3.3,3.2,2.0,0.1,10.5,1.6,1.8,0.5,1.6,0.1,12.5
