States,1st
Andaman & Nicobar Islands,1.0442865352506425
Andhra Pradesh,5.277550392569858
Arunachal Pradesh,1.0395108695985598
Assam,1.8852498071711759
Bihar,5.9321896460536
Chandigarh,1.0942580034697247
Chattisgarh,1.543997637145721
Dadra & Nagar Haveli,1.013927296621368
Daman & Diu,1.0
Delhi,2.1661400899703254
Goa,1.08933249193131
Gujarat,2.7702533199382664
Haryana,1.8262418104408602
Himachal Pradesh,1.3545733758293388
Jammu & Kashmir,2.5361816235598664
Jharkhand,2.4835660984166914
Karnataka,4.6415145172679555
Kerala,4.554631601757239
Lakshadweep,1.0102022669835196
Madhya Pradesh,4.319218939049403
Maharashtra,5.9159709833522305
Manipur,1.1643482298688228
Meghalaya,1.3011035510300786
Mizoram,1.0553333096080533
Nagaland,1.0756113178617817
Odisha,3.5746739952609468
Puducherry,1.1393626022728272
Punjab,2.3694548635413484
Rajasthan,2.5663683245302624
Sikkim,1.0220193028527638
Tamil Nadu,10.0
Telangana,4.2591246024624105
Tripura,1.0582088820776983
Uttar Pradesh,8.397495177182813
Uttarakhand,1.3575860408562008
West Bengal,5.76700142164194
