States,Total(000),Men(000),Women(000)
ANDAMAN & NICOBAR ISLANDS,400,211,189
ANDHRA PRADESH,52787,26403,26384
ARUNACHAL PRADESH,1533,789,745
ASSAM,35043,17843,17200
BIHAR,"1,23,083",64012,59071
CHANDIGARH,1208,654,554
CHHATTISGARH,29493,14794,14698
DADRA & NAGAR HAVELI,608,363,245
DAMAN & DIU,469,330,140
DELHI,20571,10963,9609
GOA,1559,786,773
GUJARAT,69788,36600,33188
HARYANA,29483,15623,13860
HIMACHAL PRADESH,7394,3750,3644
JAMMU & KASHMIR,13408,7030,6378
JHARKHAND,38471,19701,18770
KARNATAKA,66845,33911,32934
KERALA,35489,17043,18447
LAKSHADWEEP,68,35,33
MADHYA PRADESH,84516,43609,40907
MAHARASHTRA,"1,24,437",64702,59735
MANIPUR,3165,1589,1575
MEGHALAYA,3288,1648,1640
MIZORAM,1216,614,602
NAGALAND,2192,1132,1060
ODISHA,44033,21340,22693
PUDUCHERRY,1571,753,819
PUNJAB,30339,15943,14395
RAJASTHAN ,79281,40772,38509
SIKKIM,677,357,320
TAMIL NADU,76402,38165,38237
TELANGANA,37725,18978,18747
TRIPURA,4071,2071,2000
UTTAR PRADESH,"2,30,907","1,20,344","1,10,563"
UTTARAKHAND,11399,5840,5560
WEST BENGAL,98125,50095,48029
